"Sample_ID","class","order","family","genus","species","tot"
"COI.0321.1Prt.Up.3","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","",86
"COI.0321.1Prt.Up.3","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora gallica",5
"COI.0321.1Prt.Up.3","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora gonapodyides",54
"COI.0321.1Prt.Up.3","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora lacustris",48
"COI.0321.2Brn.Dn.1","","","","","",19937
"COI.0321.2Brn.Dn.1","","Himatismenida","Cochliopodiidae","Cochliopodium","",220
"COI.0321.2Brn.Dn.1","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema","",206
"COI.0321.2Brn.Dn.1","Clitellata","Haplotaxida","Enchytraeidae","Enchytraeus","",10
"COI.0321.2Brn.Dn.1","Clitellata","Haplotaxida","Lumbricidae","Aporrectodea","",12
"COI.0321.2Brn.Dn.1","Clitellata","Haplotaxida","Lumbricidae","Aporrectodea","Aporrectodea caliginosa",90
"COI.0321.2Brn.Dn.1","Clitellata","Haplotaxida","Lumbricidae","Eiseniella","",36
"COI.0321.2Brn.Dn.1","Clitellata","Haplotaxida","Lumbricidae","Eiseniella","Eiseniella tetraedra",37
"COI.0321.2Brn.Dn.1","Clitellata","Haplotaxida","Lumbricidae","Lumbricus","Lumbricus castaneus",5
"COI.0321.2Brn.Dn.1","Clitellata","Lumbriculida","Lumbriculidae","Stylodrilus","Stylodrilus heringianus",21
"COI.0321.2Brn.Dn.1","Hydrozoa","Anthoathecata","Hydridae","Hydra","Hydra vulgaris",4
"COI.0321.2Brn.Dn.1","Hydrozoa","Limnomedusae","Olindiidae","Craspedacusta","",6
"COI.0321.2Brn.Dn.1","Insecta","Diptera","Chironomidae","Chironomus","Chironomus maturus",8
"COI.0321.2Brn.Dn.1","Insecta","Diptera","Chironomidae","Limnophyes","",10
"COI.0321.2Brn.Dn.1","Insecta","Diptera","Chironomidae","Micropsectra","",25
"COI.0321.2Brn.Dn.1","Insecta","Ephemeroptera","Baetidae","Baetis","",4
"COI.0321.2Brn.Dn.1","Insecta","Lepidoptera","Geometridae","Hydriomena","Hydriomena marinata",16
"COI.0321.2Brn.Dn.1","Insecta","Plecoptera","Pteronarcyidae","Pteronarcys","Pteronarcys princeps",81
"COI.0321.2Brn.Dn.1","Insecta","Trichoptera","Brachycentridae","Micrasema","",5
"COI.0321.2Brn.Dn.1","Insecta","Trichoptera","Glossosomatidae","Glossosoma","Glossosoma penitus",5
